Connecting to 45.63.82.34:1883 …

Listening for 15 minutes … (Ctrl-C to stop early)

[connect] rc=0 — OK
  ✓ Subscribed: KTBMES/TWIX/sensors/house_weather_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/other_weather_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/other_pressure_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/unknown_other_sensors/#
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_168  →  {"device_id": "168", "device_name": "UNKNOWN_DEVICE_168", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_184  →  {"device_id": "184", "device_name": "UNKNOWN_DEVICE_184", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_92  →  {"device_id": "92", "device_name": "UNKNOWN_DEVICE_92", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_107  →  {"device_id": "107", "device_name": "UNKNOWN_DEVICE_107", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_d1cd3322  →  {"device_id": "d1cd3322", "device_name": "UNKNOWN_DEVICE_d1cd3322", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_d1cd32bb  →  {"device_id": "d1cd32bb", "device_name": "UNKNOWN_DEVICE_d1cd32bb", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_199  →  {"device_id": "199", "device_name": "UNKNOWN_DEVICE_199", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_167  →  {"device_id": "167", "device_name": "UNKNOWN_DEVICE_167", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_197  →  {"device_id": "197", "device_name": "UNKNOWN_DEVICE_197", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_128  →  {"device_id": "128", "device_name": "UNKNOWN_DEVICE_128", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_fa9344  →  {"device_id": "fa9344", "device_name": "UNKNOWN_DEVICE_fa9344", "protocol_id": "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_120e1244  →  {"device_id": "120e1244", "device_name": "UNKNOWN_DEVICE_120e1244", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_4120e124  →  {"device_id": "4120e124", "device_name": "UNKNOWN_DEVICE_4120e124", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_120e127c  →  {"device_id": "120e127c", "device_name": "UNKNOWN_DEVICE_120e127c", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_5018974a  →  {"device_id": "5018974a", "device_name": "UNKNOWN_DEVICE_5018974a", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_18974a1c  →  {"device_id": "18974a1c", "device_name": "UNKNOWN_DEVICE_18974a1c", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_27  →  {"device_id": "27", "device_name": "UNKNOWN_DEVICE_27", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_1229f56d  →  {"device_id": "1229f56d", "device_name": "UNKNOWN_DEVICE_1229f56d", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_7  →  {"device_id": "7", "device_name": "UNKNOWN_DEVICE_7", "protocol_id": "-1", "prot
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_15  →  {"device_id": "15", "device_name": "UNKNOWN_DEVICE_15", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_13  →  {"device_id": "13", "device_name": "UNKNOWN_DEVICE_13", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_29  →  {"device_id": "29", "device_name": "UNKNOWN_DEVICE_29", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_32  →  {"device_id": "32", "device_name": "UNKNOWN_DEVICE_32", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_23  →  {"device_id": "23", "device_name": "UNKNOWN_DEVICE_23", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_208  →  {"device_id": "208", "device_name": "UNKNOWN_DEVICE_208", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_2014851709  →  {"device_id": "2014851709", "device_name": "UNKNOWN_DEVICE_2014851709", "protoco
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_120  →  {"device_id": "120", "device_name": "UNKNOWN_DEVICE_120", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_0206c7  →  {"device_id": "0206c7", "device_name": "UNKNOWN_DEVICE_0206c7", "protocol_id": "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_9451c706  →  {"device_id": "9451c706", "device_name": "UNKNOWN_DEVICE_9451c706", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_c7d949  →  {"device_id": "c7d949", "device_name": "UNKNOWN_DEVICE_c7d949", "protocol_id": "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_16  →  {"device_id": "16", "device_name": "UNKNOWN_DEVICE_16", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_F6  →  {"device_id": "F6", "device_name": "UNKNOWN_DEVICE_F6", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_218  →  {"device_id": "218", "device_name": "UNKNOWN_DEVICE_218", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_c97e542a  →  {"device_id": "c97e542a", "device_name": "UNKNOWN_DEVICE_c97e542a", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_97e5424a  →  {"device_id": "97e5424a", "device_name": "UNKNOWN_DEVICE_97e5424a", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_227  →  {"device_id": "227", "device_name": "UNKNOWN_DEVICE_227", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_1893745a  →  {"device_id": "1893745a", "device_name": "UNKNOWN_DEVICE_1893745a", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_240  →  {"device_id": "240", "device_name": "UNKNOWN_DEVICE_240", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_4d8fd759  →  {"device_id": "4d8fd759", "device_name": "UNKNOWN_DEVICE_4d8fd759", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_d1c69de6  →  {"device_id": "d1c69de6", "device_name": "UNKNOWN_DEVICE_d1c69de6", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_38  →  {"device_id": "38", "device_name": "UNKNOWN_DEVICE_38", "protocol_id": "-1", "pr
